ID ,Site,Species,Righting,RTC,Absorbance
S1_AT_1,Intermediate,Archaster typicus,71,14.08450704,
S1_AT_2,Intermediate,Archaster typicus,44,22.72727273,
S1_AT_3,Intermediate,Archaster typicus,48,20.83333333,
S1_AT_4,Intermediate,Archaster typicus,41,24.3902439,
S1_AT_5,Intermediate,Archaster typicus,45,22.22222222,
S1_PN_1,Intermediate,Protoreaster nodosus,289,3.460207612,
S1_PN_2,Intermediate,Protoreaster nodosus,250,4,
S1_PN_3,Intermediate,Protoreaster nodosus,247,4.048582996,
S1_PN_4,Intermediate,Protoreaster nodosus,398,2.512562814,
S1_PN_5,Intermediate,Protoreaster nodosus,266,3.759398496,
S1_LL_1,Intermediate,Linckia laevigata,345,2.898550725,
S1_LL_2,Intermediate,Linckia laevigata,379,2.638522427,
S1_LL_3,Intermediate,Linckia laevigata,572,1.748251748,
S1_LL_4,Intermediate,Linckia laevigata,759,1.317523057,
S1_LL_5,Intermediate,Linckia laevigata,372,2.688172043,
S2_AT_1,Polluted,Archaster typicus,291,3.436426117,
S2_AT_2,Polluted,Archaster typicus,161,6.211180124,
S2_AT_3,Polluted,Archaster typicus,214,4.672897196,
S2_AT_4,Polluted,Archaster typicus,177,5.649717514,
S2_AT_5,Polluted,Archaster typicus,252,3.968253968,
S2_PN_1,Polluted,Protoreaster nodosus,314,3.184713376,
S2_PN_2,Polluted,Protoreaster nodosus,301,3.322259136,
S2_PN_3,Polluted,Protoreaster nodosus,628,1.592356688,
S2_PN_4,Polluted,Protoreaster nodosus,563,1.776198934,
S2_PN_5,Polluted,Protoreaster nodosus,405,2.469135802,
S2_LL_1,Polluted,Linckia laevigata,764,1.308900524,
S2_LL_2,Polluted,Linckia laevigata,482,2.074688797,
S2_LL_3,Polluted,Linckia laevigata,386,2.590673575,
S2_LL_4,Polluted,Linckia laevigata,704,1.420454545,
S2_LL_5,Polluted,Linckia laevigata,0,0,
S3_AT_1,Pristine,Archaster typicus,312,3.205128205,
S3_AT_2,Pristine,Archaster typicus,287,3.484320557,
S3_AT_3,Pristine,Archaster typicus,256,3.90625,
S3_AT_4,Pristine,Archaster typicus,415,2.409638554,
S3_AT_5,Pristine,Archaster typicus,276,3.623188406,
S3_PN_1,Pristine,Protoreaster nodosus,678,1.474926254,
S3_PN_2,Pristine,Protoreaster nodosus,654,1.529051988,
S3_PN_3,Pristine,Protoreaster nodosus,345,2.898550725,
S3_PN_4,Pristine,Protoreaster nodosus,523,1.912045889,
S3_PN_5,Pristine,Protoreaster nodosus,415,2.409638554,
S3_LL_1,Pristine,Linckia laevigata,967,1.034126163,
S3_LL_2,Pristine,Linckia laevigata,823,1.215066829,
S3_LL_3,Pristine,Linckia laevigata,723,1.383125864,
S3_LL_4,Pristine,Linckia laevigata,1034,0.967117988,
S3_LL_5,Pristine,Linckia laevigata,819,1.221001221,
